Text 1	Text 2	Sound 2	Text 3	Extra Info
suìshù	1	79639c5b2aaf99ccaaa64333c4d47041.m4a	suìshù|▸ 岁数 âge	<font size=12>岁数</font> (suìshù)||Mots associés :|岁 [suì] année (d'âge)
déwén	1	2bba110b4b1480d7f38a06f74d10587b.m4a	déwén|▸ 德文 la langue allemande	<font size=12>德文</font> (déwén)||Mots associés :|德国　　 [déguó] Allemagne|法德学院 [fǎdéxuéyuàn] institut fr…|德国人　 [déguórén] un Allemand|文　　　 [wén] culture,langue|法文　　 [fǎwén] la langue françai…|中文　　 [zhōngwén] la langue chin…
míngnián	1	d013e915b1446445f5d23dca84488ff2.m4a	míngnián|▸ 明年 l'année prochaine	<font size=12>明年</font> (míngnián)||Mots associés :|明天 [míngtiān] demain|今年 [jīnnián] cette année|年　 [nián] année
duìbuqǐ	1	23deace47cdb70312fde59ef73210c22.m4a	duìbuqǐ|▸ 对不起 je suis désolé	<font size=12>对不起</font> (duìbuqǐ)|Confusions possibles :|对不起 [duìbuqǐ] excusez-moi (pou…||Mots associés :|对　　 [duì] juste, exact|对　　 [duì] en face (en composit…|对不起 [duìbuqǐ] excusez-moi (pou…|不行　 [bùxíng] ne pas aller (bie…|不好　 [bùhǎo] (être) mauvais…|不用　 [búyòng] inutile…|不　　 [bù] ne pas (être)
shēngrì	1	c591d01e73e201538ea3c3cdc3dcf7b2.m4a	shēngrì|▸ 生日 anniversaire	<font size=12>生日</font> (shēngrì)||Mots associés :|先生　 [xiānshēng] monsieur|出生　 [chūshēng] naître|大学生 [dàxuéshēng] étudiant(e)|学生　 [xuéshéng] étudiant, élève|日本人 [rìběnrén] un Japonais|日　　 [rì] jour…|日本　 [rìběn] Japon|星期日 [xīngqīrì] dimanche
yīngguó	1	c2458ad85d4b54eb9a37b556b9d624b9.m4a	yīngguó|▸ 英国 Royaume-Uni	<font size=12>英国</font> (yīngguó)||Mots associés :|英雄　 [yīngxióng] héros|德国　 [déguó] Allemagne|法国人 [fǎguórén] français|中国人 [zhōngguórén] un Chinois|法国　 [fǎguó] France|德国人 [déguórén] un Allemand|国家　 [guójiā] pays…|国　　 [guó] pays|中国　 [zhōngguó] la Chine
jiěmèi	1	0942ee580da13c60be3a2a34c648f7a4.m4a	jiěmèi|▸ 姐妹 sœurs	<font size=12>姐妹</font> (jiěmèi)||Mots associés :|姐姐 [jiějie] grande sœur|妹妹 [mèimei] petite sœur
zàijiàn	1	1dda2c618010a0bdee9c28c14b3f3a96.m4a	zàijiàn|▸ 再见 au revoir	<font size=12>再见</font> (zàijiàn)||Mots associés :|再 [zài] encore (dans l'avenir)|见 [jiàn] voir
shuāngbāotāi	1	2ba3aa7df54e2d80d71fded3c31ad137.m4a	shuāngbāotāi|▸ 双胞胎 jumeaux, jumelles	<font size=12>双胞胎</font> (shuāngbāotāi)||Mots associés :|双 [shuāng] double
xiānshēng	1	fa7eee9968d6b00d23104234bdb7fe6a.m4a	xiānshēng|▸ 先生 monsieur	<font size=12>先生</font> (xiānshēng)||Mots associés :|出生　 [chūshēng] naître|大学生 [dàxuéshēng] étudiant(e)|生日　 [shēngrì] anniversaire|学生　 [xuéshéng] étudiant, élève
nǐhǎo	1	5acb47b87916e61ec5f1d72463a22d6b.m4a	nǐhǎo|▸ 你好 bonjour	<font size=12>你好</font> (nǐhǎo)||Mots associés :|你　　 [nǐ] tu, toi|你们的 [nǐmende] votre…|你们　 [nǐmen] vous (pluriel)|你的　 [nǐde] ton, tes|大家好 [dàjiā hǎo] bonjour tout l…|好　　 [hǎo] (être) bien…|不好　 [bùhǎo] (être) mauvais…
wǒde	1	2401f2b546c28f5234bce9723053bcba.m4a	wǒde|▸ 我的 mon, mes	<font size=12>我的</font> (wǒde)||Mots associés :|我　　 [wǒ] je, moi|我们　 [wǒmen] nous|我们的 [wǒmende] notre, nos|你的　 [nǐde] ton, tes|你们的 [nǐmende] votre…|的　　 [de] [particule reliant dé…|它的　 [tāde] son…|她的　 [tāde] son…|它们的 [tāmende] leur (possesseur…|她们的 [tāmende] leur (possesseur…|他们的 [tāmende] leur (possesseur…|他的　 [tāde] son…
tóngxué	1	7acaa941b18ff42e864a5155e99d674b.m4a	tóngxué|▸ 同学 camarade de classe	<font size=12>同学</font> (tóngxué)||Mots associés :|大学　　 [dàxué] université|学院　　 [xuéyuàn] institut (d'étu…|法德学院 [fǎdéxuéyuàn] institut fr…|大学生　 [dàxuéshēng] étudiant(e)|学　　　 [xué] apprendre…|学生　　 [xuéshéng] étudiant…
xièxiè	1	f2737792ade76aa60828c3940a3df504.m4a	xièxiè|▸ 谢谢 merci	<font size=12>谢谢</font> (xièxiè)||
